ParticipantType,StageOrder,ComparisonVersion,Stage,Sequence,Trial,First,Second,Pair
1,I-M-P-R,A,-3,-3,-3,-3,-3,-3
1,I-M-P-R,A,I,0,1,85,40,"[85,40]"
1,I-M-P-R,A,I,0,2,85,130,"[85,130]"
1,I-M-P-R,A,I,0,3,70,85,"[70,85]"
1,I-M-P-R,A,-2,-2,-2,-2,-2,-2
1,I-M-P-R,A,M,0,1,85,70,"[85,70]"
1,I-M-P-R,A,M,0,2,130,85,"[130,85]"
1,I-M-P-R,A,M,0,3,40,85,"[40,85]"
1,I-M-P-R,A,-2,-2,-2,-2,-2,-2
1,I-M-P-R,A,R,0,1,70,85,"[70,85]"
1,I-M-P-R,A,R,0,2,85,40,"[85,40]"
1,I-M-P-R,A,R,0,3,130,85,"[130,85]"
1,I-M-P-R,A,-2,-2,-2,-2,-2,-2
1,I-M-P-R,A,P,0,1,85,130,"[85,130]"
1,I-M-P-R,A,P,0,2,85,40,"[85,40]"
1,I-M-P-R,A,P,0,3,85,70,"[85,70]"
1,I-M-P-R,A,-3,-3,-3,-3,-3,-3
1,I-M-P-R,A,I,1,1,115,85,"[115,85]"
1,I-M-P-R,A,I,1,2,55,85,"[55,85]"
1,I-M-P-R,A,I,1,3,40,85,"[40,85]"
1,I-M-P-R,A,I,1,4,145,85,"[145,85]"
1,I-M-P-R,A,I,1,5,85,130,"[85,130]"
1,I-M-P-R,A,I,1,6,85,70,"[85,70]"
1,I-M-P-R,A,I,1,7,85,100,"[85,100]"
1,I-M-P-R,A,I,1,8,85,25,"[85,25]"
1,I-M-P-R,A,I,2,1,70,85,"[70,85]"
1,I-M-P-R,A,I,2,2,55,85,"[55,85]"
1,I-M-P-R,A,I,2,3,115,85,"[115,85]"
1,I-M-P-R,A,I,2,4,40,85,"[40,85]"
1,I-M-P-R,A,I,2,5,85,130,"[85,130]"
1,I-M-P-R,A,I,2,6,85,25,"[85,25]"
1,I-M-P-R,A,I,2,7,85,145,"[85,145]"
1,I-M-P-R,A,I,2,8,85,100,"[85,100]"
1,I-M-P-R,A,I,3,1,145,85,"[145,85]"
1,I-M-P-R,A,I,3,2,115,85,"[115,85]"
1,I-M-P-R,A,I,3,3,85,70,"[85,70]"
1,I-M-P-R,A,I,3,4,85,40,"[85,40]"
1,I-M-P-R,A,I,3,5,100,85,"[100,85]"
1,I-M-P-R,A,I,3,6,55,85,"[55,85]"
1,I-M-P-R,A,I,3,7,85,25,"[85,25]"
1,I-M-P-R,A,I,3,8,85,130,"[85,130]"
1,I-M-P-R,A,I,4,1,130,85,"[130,85]"
1,I-M-P-R,A,I,4,2,85,55,"[85,55]"
1,I-M-P-R,A,I,4,3,85,70,"[85,70]"
1,I-M-P-R,A,I,4,4,85,145,"[85,145]"
1,I-M-P-R,A,I,4,5,25,85,"[25,85]"
1,I-M-P-R,A,I,4,6,100,85,"[100,85]"
1,I-M-P-R,A,I,4,7,85,40,"[85,40]"
1,I-M-P-R,A,I,4,8,115,85,"[115,85]"
1,I-M-P-R,A,0,0,0,0,0,0
1,I-M-P-R,A,I,5,1,85,55,"[85,55]"
1,I-M-P-R,A,I,5,2,85,130,"[85,130]"
1,I-M-P-R,A,I,5,3,85,115,"[85,115]"
1,I-M-P-R,A,I,5,4,100,85,"[100,85]"
1,I-M-P-R,A,I,5,5,85,145,"[85,145]"
1,I-M-P-R,A,I,5,6,70,85,"[70,85]"
1,I-M-P-R,A,I,5,7,25,85,"[25,85]"
1,I-M-P-R,A,I,5,8,40,85,"[40,85]"
1,I-M-P-R,A,I,6,1,85,100,"[85,100]"
1,I-M-P-R,A,I,6,2,130,85,"[130,85]"
1,I-M-P-R,A,I,6,3,85,40,"[85,40]"
1,I-M-P-R,A,I,6,4,25,85,"[25,85]"
1,I-M-P-R,A,I,6,5,70,85,"[70,85]"
1,I-M-P-R,A,I,6,6,85,115,"[85,115]"
1,I-M-P-R,A,I,6,7,145,85,"[145,85]"
1,I-M-P-R,A,I,6,8,85,55,"[85,55]"
1,I-M-P-R,A,I,7,1,85,40,"[85,40]"
1,I-M-P-R,A,I,7,2,85,70,"[85,70]"
1,I-M-P-R,A,I,7,3,130,85,"[130,85]"
1,I-M-P-R,A,I,7,4,85,100,"[85,100]"
1,I-M-P-R,A,I,7,5,85,115,"[85,115]"
1,I-M-P-R,A,I,7,6,25,85,"[25,85]"
1,I-M-P-R,A,I,7,7,55,85,"[55,85]"
1,I-M-P-R,A,I,7,8,145,85,"[145,85]"
1,I-M-P-R,A,I,8,1,85,25,"[85,25]"
1,I-M-P-R,A,I,8,2,85,115,"[85,115]"
1,I-M-P-R,A,I,8,3,130,85,"[130,85]"
1,I-M-P-R,A,I,8,4,85,145,"[85,145]"
1,I-M-P-R,A,I,8,5,40,85,"[40,85]"
1,I-M-P-R,A,I,8,6,85,55,"[85,55]"
1,I-M-P-R,A,I,8,7,100,85,"[100,85]"
1,I-M-P-R,A,I,8,8,70,85,"[70,85]"
1,I-M-P-R,A,M,1,1,115,85,"[115,85]"
1,I-M-P-R,A,M,1,2,55,85,"[55,85]"
1,I-M-P-R,A,M,1,3,40,85,"[40,85]"
1,I-M-P-R,A,M,1,4,145,85,"[145,85]"
1,I-M-P-R,A,M,1,5,85,130,"[85,130]"
1,I-M-P-R,A,M,1,6,85,70,"[85,70]"
1,I-M-P-R,A,M,1,7,85,100,"[85,100]"
1,I-M-P-R,A,M,1,8,85,25,"[85,25]"
1,I-M-P-R,A,M,2,1,70,85,"[70,85]"
1,I-M-P-R,A,M,2,2,55,85,"[55,85]"
1,I-M-P-R,A,M,2,3,115,85,"[115,85]"
1,I-M-P-R,A,M,2,4,40,85,"[40,85]"
1,I-M-P-R,A,M,2,5,85,130,"[85,130]"
1,I-M-P-R,A,M,2,6,85,25,"[85,25]"
1,I-M-P-R,A,M,2,7,85,145,"[85,145]"
1,I-M-P-R,A,M,2,8,85,100,"[85,100]"
1,I-M-P-R,A,M,3,1,145,85,"[145,85]"
1,I-M-P-R,A,M,3,2,115,85,"[115,85]"
1,I-M-P-R,A,M,3,3,85,70,"[85,70]"
1,I-M-P-R,A,M,3,4,85,40,"[85,40]"
1,I-M-P-R,A,M,3,5,100,85,"[100,85]"
1,I-M-P-R,A,M,3,6,55,85,"[55,85]"
1,I-M-P-R,A,M,3,7,85,25,"[85,25]"
1,I-M-P-R,A,M,3,8,85,130,"[85,130]"
1,I-M-P-R,A,M,4,1,130,85,"[130,85]"
1,I-M-P-R,A,M,4,2,85,55,"[85,55]"
1,I-M-P-R,A,M,4,3,85,70,"[85,70]"
1,I-M-P-R,A,M,4,4,85,145,"[85,145]"
1,I-M-P-R,A,M,4,5,25,85,"[25,85]"
1,I-M-P-R,A,M,4,6,100,85,"[100,85]"
1,I-M-P-R,A,M,4,7,85,40,"[85,40]"
1,I-M-P-R,A,M,4,8,115,85,"[115,85]"
1,I-M-P-R,A,0,0,0,0,0,0
1,I-M-P-R,A,M,5,1,85,55,"[85,55]"
1,I-M-P-R,A,M,5,2,85,130,"[85,130]"
1,I-M-P-R,A,M,5,3,85,115,"[85,115]"
1,I-M-P-R,A,M,5,4,100,85,"[100,85]"
1,I-M-P-R,A,M,5,5,85,145,"[85,145]"
1,I-M-P-R,A,M,5,6,70,85,"[70,85]"
1,I-M-P-R,A,M,5,7,25,85,"[25,85]"
1,I-M-P-R,A,M,5,8,40,85,"[40,85]"
1,I-M-P-R,A,M,6,1,85,100,"[85,100]"
1,I-M-P-R,A,M,6,2,130,85,"[130,85]"
1,I-M-P-R,A,M,6,3,85,40,"[85,40]"
1,I-M-P-R,A,M,6,4,25,85,"[25,85]"
1,I-M-P-R,A,M,6,5,70,85,"[70,85]"
1,I-M-P-R,A,M,6,6,85,115,"[85,115]"
1,I-M-P-R,A,M,6,7,145,85,"[145,85]"
1,I-M-P-R,A,M,6,8,85,55,"[85,55]"
1,I-M-P-R,A,M,7,1,85,40,"[85,40]"
1,I-M-P-R,A,M,7,2,85,70,"[85,70]"
1,I-M-P-R,A,M,7,3,130,85,"[130,85]"
1,I-M-P-R,A,M,7,4,85,100,"[85,100]"
1,I-M-P-R,A,M,7,5,85,115,"[85,115]"
1,I-M-P-R,A,M,7,6,25,85,"[25,85]"
1,I-M-P-R,A,M,7,7,55,85,"[55,85]"
1,I-M-P-R,A,M,7,8,145,85,"[145,85]"
1,I-M-P-R,A,M,8,1,85,25,"[85,25]"
1,I-M-P-R,A,M,8,2,85,115,"[85,115]"
1,I-M-P-R,A,M,8,3,130,85,"[130,85]"
1,I-M-P-R,A,M,8,4,85,145,"[85,145]"
1,I-M-P-R,A,M,8,5,40,85,"[40,85]"
1,I-M-P-R,A,M,8,6,85,55,"[85,55]"
1,I-M-P-R,A,M,8,7,100,85,"[100,85]"
1,I-M-P-R,A,M,8,8,70,85,"[70,85]"
1,I-M-P-R,A,P,1,1,115,85,"[115,85]"
1,I-M-P-R,A,P,1,2,55,85,"[55,85]"
1,I-M-P-R,A,P,1,3,40,85,"[40,85]"
1,I-M-P-R,A,P,1,4,145,85,"[145,85]"
1,I-M-P-R,A,P,1,5,85,130,"[85,130]"
1,I-M-P-R,A,P,1,6,85,70,"[85,70]"
1,I-M-P-R,A,P,1,7,85,100,"[85,100]"
1,I-M-P-R,A,P,1,8,85,25,"[85,25]"
1,I-M-P-R,A,P,2,1,70,85,"[70,85]"
1,I-M-P-R,A,P,2,2,55,85,"[55,85]"
1,I-M-P-R,A,P,2,3,115,85,"[115,85]"
1,I-M-P-R,A,P,2,4,40,85,"[40,85]"
1,I-M-P-R,A,P,2,5,85,130,"[85,130]"
1,I-M-P-R,A,P,2,6,85,25,"[85,25]"
1,I-M-P-R,A,P,2,7,85,145,"[85,145]"
1,I-M-P-R,A,P,2,8,85,100,"[85,100]"
1,I-M-P-R,A,P,3,1,145,85,"[145,85]"
1,I-M-P-R,A,P,3,2,115,85,"[115,85]"
1,I-M-P-R,A,P,3,3,85,70,"[85,70]"
1,I-M-P-R,A,P,3,4,85,40,"[85,40]"
1,I-M-P-R,A,P,3,5,100,85,"[100,85]"
1,I-M-P-R,A,P,3,6,55,85,"[55,85]"
1,I-M-P-R,A,P,3,7,85,25,"[85,25]"
1,I-M-P-R,A,P,3,8,85,130,"[85,130]"
1,I-M-P-R,A,P,4,1,130,85,"[130,85]"
1,I-M-P-R,A,P,4,2,85,55,"[85,55]"
1,I-M-P-R,A,P,4,3,85,70,"[85,70]"
1,I-M-P-R,A,P,4,4,85,145,"[85,145]"
1,I-M-P-R,A,P,4,5,25,85,"[25,85]"
1,I-M-P-R,A,P,4,6,100,85,"[100,85]"
1,I-M-P-R,A,P,4,7,85,40,"[85,40]"
1,I-M-P-R,A,P,4,8,115,85,"[115,85]"
1,I-M-P-R,A,0,0,0,0,0,0
1,I-M-P-R,A,P,5,1,85,55,"[85,55]"
1,I-M-P-R,A,P,5,2,85,130,"[85,130]"
1,I-M-P-R,A,P,5,3,85,115,"[85,115]"
1,I-M-P-R,A,P,5,4,100,85,"[100,85]"
