Stage,Sequence,Trial,First,Second,Pair
-3,-3,-3,-3,-3,-3
I,0,1,85,40,"[85,40]"
I,0,2,85,130,"[85,130]"
I,0,3,70,85,"[70,85]"
-2,-2,-2,-2,-2,-2
M,0,1,85,70,"[85,70]"
M,0,2,130,85,"[130,85]"
M,0,3,40,85,"[40,85]"
-2,-2,-2,-2,-2,-2
R,0,1,70,85,"[70,85]"
R,0,2,85,40,"[85,40]"
R,0,3,130,85,"[130,85]"
-2,-2,-2,-2,-2,-2
P,0,1,85,130,"[85,130]"
P,0,2,85,40,"[85,40]"
P,0,3,85,70,"[85,70]"
-3,-3,-3,-3,-3,-3
P,1,1,115,85,"[115,85]"
P,1,2,55,85,"[55,85]"
P,1,3,40,85,"[40,85]"
P,1,4,145,85,"[145,85]"
P,1,5,85,130,"[85,130]"
P,1,6,85,70,"[85,70]"
P,1,7,85,100,"[85,100]"
P,1,8,85,25,"[85,25]"
P,2,1,70,85,"[70,85]"
P,2,2,55,85,"[55,85]"
P,2,3,115,85,"[115,85]"
P,2,4,40,85,"[40,85]"
P,2,5,85,130,"[85,130]"
P,2,6,85,25,"[85,25]"
P,2,7,85,145,"[85,145]"
P,2,8,85,100,"[85,100]"
P,3,1,145,85,"[145,85]"
P,3,2,115,85,"[115,85]"
P,3,3,85,70,"[85,70]"
P,3,4,85,40,"[85,40]"
P,3,5,100,85,"[100,85]"
P,3,6,55,85,"[55,85]"
P,3,7,85,25,"[85,25]"
P,3,8,85,130,"[85,130]"
P,4,1,130,85,"[130,85]"
P,4,2,85,55,"[85,55]"
P,4,3,85,70,"[85,70]"
P,4,4,85,145,"[85,145]"
P,4,5,25,85,"[25,85]"
P,4,6,100,85,"[100,85]"
P,4,7,85,40,"[85,40]"
P,4,8,115,85,"[115,85]"
0,0,0,0,0,0
P,5,1,85,55,"[85,55]"
P,5,2,85,130,"[85,130]"
P,5,3,85,115,"[85,115]"
P,5,4,100,85,"[100,85]"
P,5,5,85,145,"[85,145]"
P,5,6,70,85,"[70,85]"
P,5,7,25,85,"[25,85]"
P,5,8,40,85,"[40,85]"
P,6,1,85,100,"[85,100]"
P,6,2,130,85,"[130,85]"
P,6,3,85,40,"[85,40]"
P,6,4,25,85,"[25,85]"
P,6,5,70,85,"[70,85]"
P,6,6,85,115,"[85,115]"
P,6,7,145,85,"[145,85]"
P,6,8,85,55,"[85,55]"
P,7,1,85,40,"[85,40]"
P,7,2,85,70,"[85,70]"
P,7,3,130,85,"[130,85]"
P,7,4,85,100,"[85,100]"
P,7,5,85,115,"[85,115]"
P,7,6,25,85,"[25,85]"
P,7,7,55,85,"[55,85]"
P,7,8,145,85,"[145,85]"
P,8,1,85,25,"[85,25]"
P,8,2,85,115,"[85,115]"
P,8,3,130,85,"[130,85]"
P,8,4,85,145,"[85,145]"
P,8,5,40,85,"[40,85]"
P,8,6,85,55,"[85,55]"
P,8,7,100,85,"[100,85]"
P,8,8,70,85,"[70,85]"
I,1,1,115,85,"[115,85]"
I,1,2,55,85,"[55,85]"
I,1,3,40,85,"[40,85]"
I,1,4,145,85,"[145,85]"
I,1,5,85,130,"[85,130]"
I,1,6,85,70,"[85,70]"
I,1,7,85,100,"[85,100]"
I,1,8,85,25,"[85,25]"
I,2,1,70,85,"[70,85]"
I,2,2,55,85,"[55,85]"
I,2,3,115,85,"[115,85]"
I,2,4,40,85,"[40,85]"
I,2,5,85,130,"[85,130]"
I,2,6,85,25,"[85,25]"
I,2,7,85,145,"[85,145]"
I,2,8,85,100,"[85,100]"
I,3,1,145,85,"[145,85]"
I,3,2,115,85,"[115,85]"
I,3,3,85,70,"[85,70]"
I,3,4,85,40,"[85,40]"
I,3,5,100,85,"[100,85]"
I,3,6,55,85,"[55,85]"
I,3,7,85,25,"[85,25]"
I,3,8,85,130,"[85,130]"
I,4,1,130,85,"[130,85]"
I,4,2,85,55,"[85,55]"
I,4,3,85,70,"[85,70]"
I,4,4,85,145,"[85,145]"
I,4,5,25,85,"[25,85]"
I,4,6,100,85,"[100,85]"
I,4,7,85,40,"[85,40]"
I,4,8,115,85,"[115,85]"
0,0,0,0,0,0
I,5,1,85,55,"[85,55]"
I,5,2,85,130,"[85,130]"
I,5,3,85,115,"[85,115]"
I,5,4,100,85,"[100,85]"
I,5,5,85,145,"[85,145]"
I,5,6,70,85,"[70,85]"
I,5,7,25,85,"[25,85]"
I,5,8,40,85,"[40,85]"
I,6,1,85,100,"[85,100]"
I,6,2,130,85,"[130,85]"
I,6,3,85,40,"[85,40]"
I,6,4,25,85,"[25,85]"
I,6,5,70,85,"[70,85]"
I,6,6,85,115,"[85,115]"
I,6,7,145,85,"[145,85]"
I,6,8,85,55,"[85,55]"
I,7,1,85,40,"[85,40]"
I,7,2,85,70,"[85,70]"
I,7,3,130,85,"[130,85]"
I,7,4,85,100,"[85,100]"
I,7,5,85,115,"[85,115]"
I,7,6,25,85,"[25,85]"
I,7,7,55,85,"[55,85]"
I,7,8,145,85,"[145,85]"
I,8,1,85,25,"[85,25]"
I,8,2,85,115,"[85,115]"
I,8,3,130,85,"[130,85]"
I,8,4,85,145,"[85,145]"
I,8,5,40,85,"[40,85]"
I,8,6,85,55,"[85,55]"
I,8,7,100,85,"[100,85]"
I,8,8,70,85,"[70,85]"
R,1,1,115,85,"[115,85]"
R,1,2,55,85,"[55,85]"
R,1,3,40,85,"[40,85]"
R,1,4,145,85,"[145,85]"
R,1,5,85,130,"[85,130]"
R,1,6,85,70,"[85,70]"
R,1,7,85,100,"[85,100]"
R,1,8,85,25,"[85,25]"
R,2,1,70,85,"[70,85]"
R,2,2,55,85,"[55,85]"
R,2,3,115,85,"[115,85]"
R,2,4,40,85,"[40,85]"
R,2,5,85,130,"[85,130]"
R,2,6,85,25,"[85,25]"
R,2,7,85,145,"[85,145]"
R,2,8,85,100,"[85,100]"
R,3,1,145,85,"[145,85]"
R,3,2,115,85,"[115,85]"
R,3,3,85,70,"[85,70]"
R,3,4,85,40,"[85,40]"
R,3,5,100,85,"[100,85]"
R,3,6,55,85,"[55,85]"
R,3,7,85,25,"[85,25]"
R,3,8,85,130,"[85,130]"
R,4,1,130,85,"[130,85]"
R,4,2,85,55,"[85,55]"
R,4,3,85,70,"[85,70]"
R,4,4,85,145,"[85,145]"
R,4,5,25,85,"[25,85]"
R,4,6,100,85,"[100,85]"
R,4,7,85,40,"[85,40]"
R,4,8,115,85,"[115,85]"
0,0,0,0,0,0
R,5,1,85,55,"[85,55]"
R,5,2,85,130,"[85,130]"
R,5,3,85,115,"[85,115]"
R,5,4,100,85,"[100,85]"
R,5,5,85,145,"[85,145]"
R,5,6,70,85,"[70,85]"
R,5,7,25,85,"[25,85]"
R,5,8,40,85,"[40,85]"
R,6,1,85,100,"[85,100]"
R,6,2,130,85,"[130,85]"
R,6,3,85,40,"[85,40]"
R,6,4,25,85,"[25,85]"
R,6,5,70,85,"[70,85]"
R,6,6,85,115,"[85,115]"
R,6,7,145,85,"[145,85]"
R,6,8,85,55,"[85,55]"
R,7,1,85,40,"[85,40]"
R,7,2,85,70,"[85,70]"
R,7,3,130,85,"[130,85]"
R,7,4,85,100,"[85,100]"
R,7,5,85,115,"[85,115]"
R,7,6,25,85,"[25,85]"
R,7,7,55,85,"[55,85]"
R,7,8,145,85,"[145,85]"
R,8,1,85,25,"[85,25]"
R,8,2,85,115,"[85,115]"
R,8,3,130,85,"[130,85]"
R,8,4,85,145,"[85,145]"
R,8,5,40,85,"[40,85]"
R,8,6,85,55,"[85,55]"
R,8,7,100,85,"[100,85]"
R,8,8,70,85,"[70,85]"
M,1,1,115,85,"[115,85]"
M,1,2,55,85,"[55,85]"
M,1,3,40,85,"[40,85]"
M,1,4,145,85,"[145,85]"
M,1,5,85,130,"[85,130]"
M,1,6,85,70,"[85,70]"
M,1,7,85,100,"[85,100]"
M,1,8,85,25,"[85,25]"
M,2,1,70,85,"[70,85]"
M,2,2,55,85,"[55,85]"
M,2,3,115,85,"[115,85]"
M,2,4,40,85,"[40,85]"
M,2,5,85,130,"[85,130]"
M,2,6,85,25,"[85,25]"
M,2,7,85,145,"[85,145]"
M,2,8,85,100,"[85,100]"
M,3,1,145,85,"[145,85]"
M,3,2,115,85,"[115,85]"
M,3,3,85,70,"[85,70]"
M,3,4,85,40,"[85,40]"
M,3,5,100,85,"[100,85]"
