Stage,Sequence,Trial,First,Second,Pair
M,1,1,S,F,"[S,F]"
M,1,2,S,C,"[S,C]"
M,1,3,S,B,"[S,B]"
M,1,4,S,H,"[S,H]"
M,1,5,G,S,"[G,S]"
M,1,6,D,S,"[D,S]"
M,1,7,E,S,"[E,S]"
M,1,8,A,S,"[A,S]"
M,2,1,S,D,"[S,D]"
M,2,2,S,C,"[S,C]"
M,2,3,S,F,"[S,F]"
M,2,4,S,B,"[S,B]"
M,2,5,G,S,"[G,S]"
M,2,6,A,S,"[A,S]"
M,2,7,H,S,"[H,S]"
M,2,8,E,S,"[E,S]"
0,0,0,0,0,0
M,3,1,S,H,"[S,H]"
M,3,2,S,F,"[S,F]"
M,3,3,D,S,"[D,S]"
M,3,4,B,S,"[B,S]"
M,3,5,S,E,"[S,E]"
M,3,6,S,C,"[S,C]"
M,3,7,A,S,"[A,S]"
M,3,8,G,S,"[G,S]"
M,4,1,S,G,"[S,G]"
M,4,2,C,S,"[C,S]"
M,4,3,D,S,"[D,S]"
M,4,4,H,S,"[H,S]"
M,4,5,S,A,"[S,A]"
M,4,6,S,E,"[S,E]"
M,4,7,B,S,"[B,S]"
M,4,8,S,F,"[S,F]"
0,0,0,0,0,0
M,5,1,C,S,"[C,S]"
M,5,2,G,S,"[G,S]"
M,5,3,F,S,"[F,S]"
M,5,4,S,E,"[S,E]"
M,5,5,H,S,"[H,S]"
M,5,6,S,D,"[S,D]"
M,5,7,S,A,"[S,A]"
M,5,8,S,B,"[S,B]"
M,6,1,E,S,"[E,S]"
M,6,2,S,G,"[S,G]"
M,6,3,B,S,"[B,S]"
M,6,4,S,A,"[S,A]"
M,6,5,S,D,"[S,D]"
M,6,6,F,S,"[F,S]"
M,6,7,S,H,"[S,H]"
M,6,8,C,S,"[C,S]"
0,0,0,0,0,0
M,7,1,B,S,"[B,S]"
M,7,2,D,S,"[D,S]"
M,7,3,S,G,"[S,G]"
M,7,4,E,S,"[E,S]"
M,7,5,F,S,"[F,S]"
M,7,6,S,A,"[S,A]"
M,7,7,S,C,"[S,C]"
M,7,8,S,H,"[S,H]"
M,8,1,A,S,"[A,S]"
M,8,2,F,S,"[F,S]"
